Diseases of Cattleya Lindl. spp.	Cattleya
Diseases of Coffee (Coffea arabica L. - arabica coffee) (Coffea canephora Pierre ex Froehner - robusta coffee)	Coffea arabica|Coffea canephora
Diseases of Crucifers (Brassica and Raphanus spp.)	Brassica|Raphanus
Diseases of Cucurbits (Citrullus spp., Cucumis spp., Cucurbita spp., and others)	Citrullus|Cucumis|Cucurbita
Diseases of English (Persian) Walnut (Juglans regia L.)	Juglans regia
Diseases of European Hazelnut (Corylus avellana L.) Hazelnut (Corylus spp.)	Corylus avellana|Corylus
Diseases of Flax (Linum usitatissimum L. and other Linum spp.)	Linum usitatissimum|Linum
Diseases of Foliage Plants (House Plants)	Plantae
Diseases of Geranium (Pelargonium) Pelargonium × domesticum Bailey (regal geranium or Lady Washington or Martha Washington geranium; interspecific hybrids) Pelargonium × hortorum Bailey (florists' or zonal geranium; interspecific hybrids) Pelargonium graveolens L'Her. ex Aiton (scented geranium) Pelargonium peltatum (L.) L'Her. ex Aiton (ivy geranium)	Diseases of Geranium (Pelargonium) Pelargonium × domesticum Bailey (regal geranium or Lady Washington or Martha Washington geranium; interspecific hybrids) Pelargonium × hortorum Bailey (florists' or zonal geranium; interspecific hybrids) Pelargonium graveolens L'Her. ex Aiton (scented geranium) Pelargonium peltatum (L.) L'Her. ex Aiton (ivy geranium)
Diseases of Holiday Cacti Schlumbergera truncata (Haw.) Moran (= Zygocactus truncatus (Haw.) K. Schum.), S. × buckleyi (T. Moore) Tjaden, S. bridgesii (Lem) Loefgr., and Hatiora gaertneri (Regel) Barthlott	Diseases of Holiday Cacti Schlumbergera truncata (Haw.) Moran (= Zygocactus truncatus (Haw.) K. Schum.), S. × buckleyi (T. Moore) Tjaden, S. bridgesii (Lem) Loefgr., and Hatiora gaertneri (Regel) Barthlott
Diseases of Impatiens (Impatiens wallerana) and New Guinea Impatiens (Impatiens hybrids)	Impatiens wallerana|Impatiens
Diseases of Mint (Mentha piperita L., M. cardiaca Baker, M. spicata L. and M. arvensis L.)	Diseases of Mint (Mentha piperita L., M. cardiaca Baker, M. spicata L. and Mentha arvensis
Diseases of Mustard (Brassica juncea (L.) Czernj. & J.M. Coulter var. crispifolia L.H. Bailey and B. nigra (L.) W. Koch)	Brassica juncea var. crispifolia
Diseases of Onion and Garlic (Allium cepa L. and A. sativum L., respectively)	Allium cepa|Allium sativum
Diseases of Peach and Nectarine Peach: Prunus persica (L.) Batsch Nectarine: P. persica var. nucipersica (Suckow) C.K. Schneid.	Prunus persica|Prunus persica var. nucipersica
Diseases of Primulas English primrose Primula vulgaris Huds. (P. acaulis), Polyanthus Primula Pruhonicensis hybrids, Fairy primrose P. malacoides Franch., German primrose P. obconica Hance, Chinese primrose P. sinensis Sabine ex Lindl.	Primula vulgaris|Primula acaulis|Primula malacoides|Primula obconica|Primula sinensis
Diseases of Rapeseed = Canola (B. napus L. and Brassica rapa L. (= B. campestris L.))	Brassica napus|Brassica rapa|Brassica campestris
Diseases of Sunflower (Helianthus annuus L.) and Jerusalem Artichoke (H. tuberosus L.)	Helianthus annuus|Helianthus tuberosus
Diseases of Sweet Cherry (Prunus avium L.) and Sour Cherry (P. cerasus L.)	Prunus avium|Prunus cerasus
Diseases of Turfgrasses	Plantae
Garlic viruses A-D	Garlic virus A|Garlic virus B|Garlic virus C|Garlic virus D
candidate Rhabdoviridae (unassigned genus), Passion fruit green spot virus (PGSV)	Passion fruit green spot virus
Candidatus Liberobacter asiaticus Candidatus L. africanus	Candidatus Liberobacter asiaticus|Candidatus Liberobacter africanus
unassigned genus, Purple granadilla mosaic virus (PGMV)	Purple granadilla mosaic virus
